Percent_Thrombolysis_(median),Percent_Thrombolysis_(low_5%),Percent_Thrombolysis_(high_95%),Percent_Thrombolysis_(mean),Percent_Thrombolysis_(stdev),Percent_Thrombolysis_(95ci),Baseline_good_outcomes_per_1000_patients_(median),Baseline_good_outcomes_per_1000_patients_(low_5%),Baseline_good_outcomes_per_1000_patients_(high_95%),Baseline_good_outcomes_per_1000_patients_(mean),Baseline_good_outcomes_per_1000_patients_(stdev),Baseline_good_outcomes_per_1000_patients_(95ci),Additional_good_outcomes_per_1000_patients_(median),Additional_good_outcomes_per_1000_patients_(low_5%),Additional_good_outcomes_per_1000_patients_(high_95%),Additional_good_outcomes_per_1000_patients_(mean),Additional_good_outcomes_per_1000_patients_(stdev),Additional_good_outcomes_per_1000_patients_(95ci),Onset_to_needle_(mean),Onset_to_puncture_(mean),stroke_team,scenario
13.157895,10.804094,15.804094,13.307018,1.683289,0.329919,333.333333,298.245614,371.491228,334.005848,24.282524,4.759287,8.77193,0.0,17.54386,8.918129,5.213618,1.02185,179.402979,,1,base
19.736842,15.482456,23.114035,19.573099,2.13287,0.418035,333.333333,289.327485,359.795322,329.883041,21.164323,4.148131,11.695906,5.847953,23.391813,13.625731,5.686531,1.11454,179.321653,,1,benchmark
14.327485,11.695906,17.251462,14.552632,1.669049,0.327127,324.561404,289.327485,359.649123,323.450292,20.874255,4.091279,8.77193,2.777778,20.614035,10.146199,6.322729,1.239232,180.765705,,1,onset
21.345029,17.52924,23.991228,21.038012,2.078551,0.407389,330.409357,298.245614,359.795322,330.263158,19.941569,3.908476,13.157895,2.923977,23.391813,13.304094,5.627835,1.103035,181.296199,,1,onset_benchmark
14.035088,11.695906,16.681287,14.111111,1.6813,0.329529,328.947368,283.479532,368.421053,330.087719,25.578217,5.013238,8.77193,2.777778,20.467836,9.649123,5.736127,1.12426,169.662573,,1,speed
20.175439,17.236842,23.991228,20.333333,2.205566,0.432283,330.409357,289.327485,365.643275,328.128655,25.36014,4.970496,11.695906,5.847953,23.391813,13.596491,5.794174,1.135637,168.980209,,1,speed_benchmark
15.204678,12.251462,18.143275,15.190058,2.02595,0.397079,330.409357,292.397661,362.719298,331.19883,22.205641,4.352226,11.695906,2.923977,17.690058,11.052632,5.183799,1.016006,169.986187,,1,speed_onset
21.783626,18.421053,25.160819,21.883041,2.083674,0.408393,333.333333,306.871345,362.573099,333.479532,17.891755,3.50672,14.619883,5.847953,29.239766,16.111111,6.62996,1.299448,169.313164,,1,speed_onset_benchmark
12.854031,10.457516,15.46841,12.969499,1.489413,0.29192,354.030501,317.973856,385.729847,351.830065,19.549059,3.831545,8.714597,2.178649,17.429194,9.346405,4.830046,0.946672,173.644241,,2,base
19.172113,16.764706,21.797386,19.291939,1.62693,0.318872,348.583878,313.72549,381.263617,346.296296,21.173514,4.149932,13.071895,6.535948,21.895425,13.681917,5.426383,1.063552,174.608306,,2,benchmark
15.03268,12.200436,17.440087,14.928105,1.470959,0.288303,350.762527,317.973856,383.551198,349.651416,20.569646,4.031577,9.803922,4.248366,17.538126,10.174292,4.551629,0.892103,173.236927,,2,onset
22.222222,19.16122,25.065359,22.237473,1.850008,0.362595,349.673203,320.152505,383.551198,350.784314,19.862915,3.89306,14.16122,6.535948,26.143791,14.880174,5.908377,1.158021,174.757696,,2,onset_benchmark
12.854031,10.642702,14.847495,12.845316,1.466859,0.287499,352.941176,315.904139,381.372549,351.655773,21.288053,4.172382,8.714597,2.178649,15.250545,9.368192,4.439056,0.870039,169.586827,,2,speed
19.389978,16.339869,22.233115,19.448802,1.901284,0.372645,350.762527,318.082789,383.551198,353.137255,20.942923,4.104738,13.071895,6.535948,21.895425,13.35512,5.306442,1.040044,170.207997,,2,speed_benchmark
14.814815,12.625272,17.647059,14.877996,1.550247,0.303843,348.583878,313.72549,383.442266,348.910675,20.938985,4.103966,10.893246,2.178649,17.538126,10.326797,5.075208,0.994723,168.711102,,2,speed_onset
22.766885,19.814815,25.511983,22.647059,1.777613,0.348406,348.583878,317.973856,381.372549,351.481481,20.549965,4.027719,15.250545,6.535948,26.143791,16.165577,5.835915,1.143818,169.775668,,2,speed_onset_benchmark
9.677419,7.66129,12.923387,9.983871,1.860762,0.364703,310.483871,273.991935,338.709677,307.540323,21.196578,4.154453,4.032258,0.0,12.096774,4.032258,3.970693,0.778242,198.921598,,3,base
